Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-01-02,41.267185,41.267185,40.257569,41.020076,1015
2007-01-03,40.419954,41.020076,39.961038,40.01046,1142
2007-01-04,39.537423,40.02458,39.346796,39.657447,9003
2007-01-05,39.396218,39.544483,38.725493,39.544483,4412
2007-01-08,39.622146,40.172846,39.537423,39.537423,6355
2007-01-09,39.332675,39.650387,38.760795,39.424459,6557
2007-01-10,38.873759,39.18441,38.760795,38.760795,3799
2007-01-15,39.791592,39.791592,39.332675,39.544483,5343
2007-01-16,39.586844,39.636266,39.127928,39.127928,10027
2007-01-17,39.113807,39.537423,39.043205,39.537423,1710
2007-01-18,39.516242,39.643326,39.156169,39.156169,305
2007-01-19,39.007904,39.290314,39.007904,39.290314,650
2007-01-22,40.186966,40.483497,39.763351,39.763351,6289
2007-01-23,39.784532,40.172846,39.629206,40.172846,420
2007-01-24,40.610581,40.681184,40.398774,40.398774,530
2007-01-25,40.596461,40.765907,40.278749,40.335231,681
2007-01-26,40.335231,40.483497,40.045761,40.264629,1616
2007-01-29,40.29993,40.30699,40.172846,40.30699,1644
2007-01-30,39.961038,40.052821,39.925737,39.925737,800
2007-01-31,40.603521,40.603521,40.321111,40.321111,820
2007-02-01,40.165785,41.11892,40.095183,40.095183,5820
2007-02-02,40.885931,40.963594,40.476436,40.476436,6280
2007-02-05,41.12598,41.373089,40.674124,41.196582,3596
2007-02-06,41.556655,41.556655,41.020076,41.020076,3165
2007-02-07,41.017183,41.258252,41.017183,41.258252,1578
2007-02-08,40.683941,40.953371,40.499594,40.740663,583
2007-02-09,40.981732,41.279523,40.910829,40.981732,1254
2007-02-12,40.761934,41.073905,40.761934,40.847017,278
2007-02-13,40.93919,40.93919,40.442872,40.442872,880
2007-02-14,40.790295,41.066815,40.733573,41.066815,1143
2007-02-15,40.691031,40.903739,40.449962,40.449962,557
2007-02-16,40.39324,41.024273,40.059997,40.754843,3456
2007-02-19,40.39324,40.811565,40.39324,40.570496,130
2007-02-20,40.464142,40.754843,40.095449,40.286886,3000
2007-02-21,40.272705,40.485413,40.215983,40.485413,738
2007-02-22,40.414511,40.584677,40.272705,40.272705,460
